time;P;;;;;;;;;;
20200101:0011;0.0;;;;;;;;;;
20200101:0111;0.0;;;;;;;;;;
20200101:0211;0.0;;;;;;;;;;
20200101:0311;0.0;;;;;;;;;;
20200101:0411;0.0;;;;;;;;;;
20200101:0511;0.0;;;;;;;;;;
20200101:0611;0.0;;;;;;;;;;
20200101:0711;0.0;;;;;;;;;;
20200101:0811;54324.0;;;;;;;;;;
20200101:0911;223380.0;;;;;;;;;;
20200101:1011;257796.0;;;;;;;;;;
20200101:1111;332532.0;;;;;;;;;;
20200101:1211;589824.0;;;;;;;;;;
20200101:1311;589824.0;;;;;;;;;;
20200101:1411;335286.0;;;;;;;;;;
20200101:1511;0.0;;;;;;;;;;
20200101:1611;0.0;;;;;;;;;;
20200101:1711;0.0;;;;;;;;;;
20200101:1811;0.0;;;;;;;;;;
20200101:1911;0.0;;;;;;;;;;
20200101:2011;0.0;;;;;;;;;;
20200101:2111;0.0;;;;;;;;;;
20200101:2211;0.0;;;;;;;;;;
20200101:2311;0.0;;;;;;;;;;
20200102:0011;0.0;;;;;;;;;;
20200102:0111;0.0;;;;;;;;;;
20200102:0211;0.0;;;;;;;;;;
20200102:0311;0.0;;;;;;;;;;
20200102:0411;0.0;;;;;;;;;;
20200102:0511;0.0;;;;;;;;;;
20200102:0611;0.0;;;;;;;;;;
20200102:0711;0.0;;;;;;;;;;
20200102:0811;148914.0;;;;;;;;;;
20200102:0911;550134.0;;;;;;;;;;
20200102:1011;732474.0;;;;;;;;;;
20200102:1111;834624.0;;;;;;;;;;
20200102:1211;780012.0;;;;;;;;;;
20200102:1311;667512.0;;;;;;;;;;
20200102:1411;369054.0;;;;;;;;;;
20200102:1511;0.0;;;;;;;;;;
20200102:1611;0.0;;;;;;;;;;
20200102:1711;0.0;;;;;;;;;;
20200102:1811;0.0;;;;;;;;;;
20200102:1911;0.0;;;;;;;;;;
20200102:2011;0.0;;;;;;;;;;
20200102:2111;0.0;;;;;;;;;;
20200102:2211;0.0;;;;;;;;;;
20200102:2311;0.0;;;;;;;;;;
20200103:0011;0.0;;;;;;;;;;
20200103:0111;0.0;;;;;;;;;;
20200103:0211;0.0;;;;;;;;;;
20200103:0311;0.0;;;;;;;;;;
20200103:0411;0.0;;;;;;;;;;
20200103:0511;0.0;;;;;;;;;;
20200103:0611;0.0;;;;;;;;;;
20200103:0711;0.0;;;;;;;;;;
20200103:0811;0.0;;;;;;;;;;
20200103:0911;21978.0;;;;;;;;;;
20200103:1011;66762.0;;;;;;;;;;
