Latitude;(decimal;degrees):;52527,00;;;;;;;;
Longitude;(decimal;degrees):;11393,00;;;;;;;;
Elevation;(m):;49;;;;;;;;;
Radiation;database:;PVGIS-SARAH2;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Slope:;25;deg.;;;;;;;;;
Azimuth:;8;deg.;;;;;;;;;
Nominal;power;of;the;PV;system;(c-Si);(kWp):;1800.0;;;
System;losses;(%):;14.0;;;;;;;;
time;P;G(i);H_sun;T2m;WS10m;Int;;;;;
20200101:0011;0.0;0.0;0.0;Feb 24;Feb 28;0.0;;;;;
20200101:0111;0.0;0.0;0.0;Jan 89;Feb 28;0.0;;;;;
20200101:0211;0.0;0.0;0.0;01. Mai;Feb 14;0.0;;;;;
20200101:0311;0.0;0.0;0.0;Jan 15;02. Jul;0.0;;;;;
20200101:0411;0.0;0.0;0.0;0.9;2.0;0.0;;;;;
20200101:0511;0.0;0.0;0.0;0.76;Jan 86;0.0;;;;;
20200101:0611;0.0;0.0;0.0;0.63;Jan 86;0.0;;;;;
20200101:0711;0.0;0.0;0.0;0.27;Jan 79;0.0;;;;;
20200101:0811;54324.0;50.18;45017,00;0.48;Jan 66;0.0;;;;;
20200101:0911;223380.0;155.18;21064,00;01. Jan;Jan 59;0.0;;;;;
20200101:1011;257796.0;175.35;45120,00;Jan 67;Jan 59;0.0;;;;;
20200101:1111;332532.0;220.45;14.45;02. Aug;Jan 86;0.0;;;;;
20200101:1211;589824.0;378.33;13.58;Feb 26;Jan 93;0.0;;;;;
20200101:1311;589824.0;379.93;19998,00;Feb 32;2.0;0.0;;;;;
20200101:1411;335286.0;226.78;21671,00;02. Aug;Jan 93;0.0;;;;;
20200101:1511;0.0;0.0;0.0;Jan 37;Jan 79;0.0;;;;;
20200101:1611;0.0;0.0;0.0;0.63;Jan 86;0.0;;;;;
20200101:1711;0.0;0.0;0.0;0.04;Jan 79;0.0;;;;;
20200101:1811;0.0;0.0;0.0;-0.46;Jan 79;0.0;;;;;
20200101:1911;0.0;0.0;0.0;-0.63;2.0;0.0;;;;;
20200101:2011;0.0;0.0;0.0;-0.94;02. Jul;0.0;;;;;
20200101:2111;0.0;0.0;0.0;-1.17;02. Jul;0.0;;;;;
20200101:2211;0.0;0.0;0.0;-1.34;02. Jul;0.0;;;;;
20200101:2311;0.0;0.0;0.0;-1.58;Jan 93;0.0;;;;;
20200102:0011;0.0;0.0;0.0;-1.83;Jan 79;0.0;;;;;
20200102:0111;0.0;0.0;0.0;-2.1;Jan 66;0.0;;;;;
20200102:0211;0.0;0.0;0.0;-2.24;Jan 52;0.0;;;;;
